label,source_file,segment_index,start_sample,end_sample,fd_dominant_freq_hz,fd_spectral_centroid_hz,fd_spectral_bandwidth_hz,fd_total_band_energy,fd_envelope_dominant_freq_hz,fd_band_energy_0_500_hz,fd_band_energy_500_1500_hz,fd_band_energy_1500_3000_hz,fd_bpfi_hz,fd_bpfi_h1_fft_amp,fd_bpfi_h1_envelope_amp,fd_bpfi_h2_fft_amp,fd_bpfi_h2_envelope_amp,fd_bpfi_h3_fft_amp,fd_bpfi_h3_envelope_amp,fd_bpfo_hz,fd_bpfo_h1_fft_amp,fd_bpfo_h1_envelope_amp,fd_bpfo_h2_fft_amp,fd_bpfo_h2_envelope_amp,fd_bpfo_h3_fft_amp,fd_bpfo_h3_envelope_amp,fd_bsf_hz,fd_bsf_h1_fft_amp,fd_bsf_h1_envelope_amp,fd_bsf_h2_fft_amp,fd_bsf_h2_envelope_amp,fd_bsf_h3_fft_amp,fd_bsf_h3_envelope_amp,fd_ftf_hz,fd_ftf_h1_fft_amp,fd_ftf_h1_envelope_amp,fd_ftf_h2_fft_amp,fd_ftf_h2_envelope_amp,fd_ftf_h3_fft_amp,fd_ftf_h3_envelope_amp
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,0,0,2048,29.296875,1475.1054979611947,1516.573131665003,0.006353932257032212,29.296875,0.004746565689131209,0.001220311195791916,0.0003508318349138025,162.0,0.00035909035577853045,0.0009045194765758938,0.00028515161996930846,0.003722582248005432,0.00013825056820591548,0.0002055171166141555,108.0,7.16829762173322e-05,0.005195907155093075,0.009301608331158936,0.011856714572303844,0.00028515161996930846,0.003722582248005432,72.0,0.00847338665819612,0.011630540714896779,0.009193185886335302,0.011625510694753689,0.009301608331158936,0.011856714572303844,12.0,0.0001170457506924326,0.0012511020999607357,0.020730588481880207,0.0052643795310339195,0.02923643989001984,0.0075644370411157924
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,1,1024,3072,29.296875,1489.9978816743906,1533.0497595984832,0.0064484958631431015,29.296875,0.004815817703536364,0.0012444159790843945,0.00034772834926329987,162.0,0.0005091345125660987,0.0014867034639121307,0.00019977114124011743,0.004055640226022107,0.00014846905587821908,0.0007149108667031693,108.0,0.0002622354838334557,0.00482445145776785,0.009523047797524317,0.011972709737111238,0.00019977114124011743,0.004055640226022107,72.0,0.008987030924235247,0.011606536724116987,0.008706123420105103,0.011573656749418397,0.009523047797524317,0.011972709737111238,12.0,0.0005881393303205145,0.001235272008305061,0.02074409316953218,0.00548707291442125,0.029704765402585882,0.006730603314570956
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,2,2048,4096,29.296875,1484.6840810319825,1524.1345298586448,0.006371508859620917,29.296875,0.004734527103535513,0.0012507133456399848,0.0003488256864404175,162.0,0.0005253774876395737,0.0009880992225785238,0.00027039704069815185,0.0037045859746551893,0.00023966805991508248,0.00018147947796524246,108.0,0.0002667723193193815,0.004980216009434227,0.009592308170479914,0.011550462914615289,0.00027039704069815185,0.0037045859746551893,72.0,0.008398238208516354,0.011998599750754858,0.00923934600111065,0.011683631729143626,0.009592308170479914,0.011550462914615289,12.0,0.0002693082339865198,0.0011558566567347883,0.020239925034728504,0.005360260627248828,0.029564018410340166,0.006012061940322014
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,3,3072,5120,29.296875,1472.1239346746975,1514.2616248089298,0.006401706414867914,29.296875,0.004773989748191204,0.0012291914056918472,0.00036115458146644545,162.0,0.0003616421065029065,0.0012322622723461535,0.00031392987545464043,0.0038216746138602068,0.0003803438367017686,0.00024746540072205123,108.0,0.00021507666208263963,0.004679542990639839,0.009695355082765264,0.011522765873463259,0.00031392987545464043,0.0038216746138602068,72.0,0.008132816083487102,0.01176706641147762,0.008916354721195174,0.011579937727796424,0.009695355082765264,0.011522765873463259,12.0,0.00031752609284957714,0.0012128990474939614,0.02098883272537922,0.004793250695911705,0.029420206712336094,0.005830632222132851
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,4,4096,6144,29.296875,1493.2608275164278,1526.2448553423926,0.0063898912897686,29.296875,0.004755406830306047,0.0012456323316760198,0.00034979687341391865,162.0,0.00030550262636704816,0.0009982872546342402,0.0005343312969799824,0.003698217666775987,0.0004751893982408631,0.0002841458803363708,108.0,0.00020086698300288245,0.004314828971135928,0.009404582539028929,0.011488095977560675,0.0005343312969799824,0.003698217666775987,72.0,0.007788158353723329,0.011979046800872866,0.00885817146193012,0.011438450012469077,0.009404582539028929,0.011488095977560675,12.0,0.00048635170089723255,0.0014661407610627043,0.020713349027959866,0.005398058767802423,0.02970038086347366,0.005216279611607943
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,5,5120,7168,29.296875,1514.349144095506,1552.7806452861525,0.006290153123150164,70.3125,0.004686955531381471,0.0012242910050437638,0.00033771537947282587,162.0,0.00029168988767686846,0.0013659640447003247,0.00044390523342874766,0.003300612483794974,0.00021936535597776144,0.00021161538667031877,108.0,0.00036814984178235515,0.004309470698393205,0.009433408443930555,0.011611451684179628,0.00044390523342874766,0.003300612483794974,72.0,0.007779776744487376,0.012170052501667325,0.008636653777615085,0.01105778778978372,0.009433408443930555,0.011611451684179628,12.0,0.0001954585580412916,0.0016155771968335048,0.020051507567796972,0.004851069957840374,0.029634521234197644,0.005251886717647558
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,6,6144,8192,29.296875,1496.4179467523077,1554.1025076866495,0.006287116250760303,29.296875,0.0047068966059272905,0.0012040934849154806,0.00033543244965708374,162.0,0.0003311438863108408,0.0009856096622837508,0.00036883686503485195,0.0035232008717259616,6.599436667434653e-05,0.00020762657008030597,108.0,0.00039208619737503384,0.004171191508552604,0.009341925698751767,0.011376763728262107,0.00036883686503485195,0.0035232008717259616,72.0,0.008291065797262577,0.011909769769232099,0.008682446269503458,0.011241563867583963,0.009341925698751767,0.011376763728262107,12.0,0.0002388429247214496,0.0015587692033604034,0.02035729838138479,0.004794571372268893,0.02937787620827412,0.005185695256265509
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,7,7168,9216,29.296875,1490.2123600909003,1537.831550859794,0.006420971206846758,29.296875,0.004807318858246117,0.0012333173910069142,0.00034178766165697647,162.0,0.00026374948324089893,0.0012825419602275163,0.00011491584310810932,0.0034101896598167916,0.000166682212612621,0.00033302411949842126,108.0,0.0002805677700423404,0.004236097913364952,0.009190782856598191,0.011900586376568443,0.00011491584310810932,0.0034101896598167916,72.0,0.008302837003396978,0.01149480890704043,0.008931424396017228,0.011579779663456385,0.009190782856598191,0.011900586376568443,12.0,0.000315149434491635,0.0010112567074722243,0.020717086175479,0.005428175696637552,0.029780955064167162,0.005637579954385812
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,8,8192,10240,29.296875,1516.0615816858008,1553.0292442839063,0.006378142902495271,29.296875,0.004749683060879989,0.001240338014728472,0.0003447777043445397,162.0,0.0006490020746786843,0.0011036177554294307,0.00020829392293905569,0.003477848714792105,0.00032397103317210687,0.0001629022118098595,108.0,0.0005531258460597608,0.004440121699052068,0.009320954836516985,0.01192260281176543,0.00020829392293905569,0.003477848714792105,72.0,0.008122971303310023,0.011685252370231278,0.009032319874690829,0.011523999178008348,0.009320954836516985,0.01192260281176543,12.0,0.00032812138513553816,0.001089345390231602,0.020302172302824318,0.005195204254768714,0.029499681566555556,0.006196964208273103
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,9,9216,11264,29.296875,1464.5644528232633,1508.488795219754,0.006430198541661038,29.296875,0.00478967918676248,0.0012603162717011052,0.00034513447257601015,162.0,0.00037379595171249083,0.0008474092318172914,0.0002724569974136941,0.0035360390002887095,0.0001709219317417534,0.0002525449902011327,108.0,0.00030452294963020037,0.003992230040321693,0.009351889383307097,0.011880808647633863,0.0002724569974136941,0.0035360390002887095,72.0,0.009066173841927991,0.012119803687651738,0.00885192292245418,0.011445708933896208,0.009351889383307097,0.011880808647633863,12.0,0.0002170074771572095,0.0014324649482689122,0.020811384333052314,0.005310654612662461,0.029192962112977294,0.006776690275784346
